8473541,Jonathan Bernier,G,NJD
8476462,Dougie Hamilton,D,NJD
8477425,Miles Wood,L,NJD
8478421,A.J. Greer,L,NJD
8480883,Ty Smith,D,NJD
8481740,Tyce Thompson,R,NJD
8474056,P.K. Subban,D,NJD
8475193,Tomas Tatar,L,NJD
8476903,Jon Gillies,G,NJD
8476918,Jimmy Vesey,L,NJD
8476923,Damon Severson,D,NJD
8477341,Andreas Johnsson,L,NJD
8477419,Mason Geertsen,D,NJD
8477435,Ryan Graves,D,NJD
8478399,Jonas Siegenthaler,D,NJD
8478401,Pavel Zacha,C,NJD
8478406,Mackenzie Blackwood,G,NJD
8478841,Colton White,D,NJD
8478868,Christian Jaros,D,NJD
8479407,Jesper Bratt,L,NJD
8479414,Nathan Bastian,R,NJD
8479415,Michael McLeod,C,NJD
8479511,Janne Kuokkanen,C,NJD
8480002,Nico Hischier,C,NJD
8480003,Jesper Boqvist,C,NJD
8480226,Marian Studenic,R,NJD
8481068,Yegor Sharangovich,C,NJD
8481559,Jack Hughes,C,NJD
8482110,Dawson Mercer,C,NJD
8475151,Kyle Palmieri,R,NYI
8477506,Ryan Pulock,D,NYI
8465009,Zdeno Chara,D,NYI
8470610,Zach Parise,L,NYI
8472382,Andy Greene,D,NYI
8473504,Cal Clutterbuck,R,NYI
8473575,Semyon Varlamov,G,NYI
8474573,Josh Bailey,R,NYI
8474709,Matt Martin,L,NYI
8475231,Casey Cizikas,C,NYI
8475314,Anders Lee,L,NYI
8475754,Brock Nelson,C,NYI
8476419,Jean-Gabriel Pageau,C,NYI
8476429,Scott Mayfield,D,NYI
8476917,Adam Pelech,D,NYI
8477527,Ross Johnston,L,NYI
8478009,Ilya Sorokin,G,NYI
8478445,Mathew Barzal,C,NYI
8478463,Anthony Beauvillier,L,NYI
8478512,Austin Czarnik,C,NYI
8479356,Kieffer Bellows,L,NYI
8480071,Robin Salo,D,NYI
8480222,Sebastian Aho,D,NYI
8480789,Oliver Wahlstrom,R,NYI
8480865,Noah Dobson,D,NYI
8478104,Sammy Blais,L,NYR
8471817,Ryan Reaves,R,NYR
8475184,Chris Kreider,L,NYR
8475735,Greg McKegg,C,NYR
8475747,Patrik Nemeth,D,NYR
8475797,Jarred Tinordi,D,NYR
8476458,Ryan Strome,C,NYR
8476459,Mika Zibanejad,C,NYR
8476624,Barclay Goodrow,C,NYR
8476885,Jacob Trouba,D,NYR
8478048,Igor Shesterkin,G,NYR
8478211,Dryden Hunt,L,NYR
8478550,Artemi Panarin,L,NYR
8479291,Kevin Rooney,C,NYR
8479323,Adam Fox,D,NYR
8479324,Ryan Lindgren,D,NYR
8479328,Julien Gauthier,R,NYR
8479333,Libor Hajek,D,NYR
8480078,Filip Chytil,C,NYR
8480382,Alexandar Georgiev,G,NYR
8480817,K'Andre Miller,D,NYR
8481554,Kaapo Kakko,R,NYR
8482073,Braden Schneider,D,NYR
8482109,Alexis Lafrenière,L,NYR
8470775,Nate Thompson,C,PHI
8473544,Derick Brassard,C,PHI
8475176,Ryan Ellis,D,PHI
8475763,Kevin Hayes,C,PHI
8476461,Sean Couturier,C,PHI
8477887,Patrick Brown,C,PHI
8479550,Tanner Laczynski,C,PHI
8480797,Joel Farabee,L,PHI
8471735,Keith Yandle,D,PHI
8473512,Claude Giroux,C,PHI
8474027,Justin Braun,D,PHI
8474037,James van Riemsdyk,L,PHI
8474715,Cam Atkinson,R,PHI
8474889,Martin Jones,G,PHI
8475246,Kevin Connauton,D,PHI
8476372,Nick Seeler,D,PHI
8476872,Scott Laughton,C,PHI
8477499,Rasmus Ristolainen,D,PHI
8477948,Travis Sanheim,D,PHI
8478051,Max Willman,C,PHI
8478067,Oskar Lindblom,L,PHI
8478439,Travis Konecny,R,PHI
8478500,Ivan Provorov,D,PHI
8479322,Wade Allison,R,PHI
8479394,Carter Hart,G,PHI
8479772,Zack MacEwen,C,PHI
8479933,Gerry Mayhew,C,PHI
8480028,Morgan Frost,C,PHI
8481546,Cam York,D,PHI
8482654,Jackson Cates,C,PHI
8475722,Jason Zucker,L,PIT
8475839,Louis Domingue,G,PIT
8482055,Drew O'Connor,L,PIT
8478074,Anthony Angello,R,PIT
8479512,Kasper Bjorkqvist,R,PIT
8480842,Filip Hallander,C,PIT
8470604,Jeff Carter,C,PIT
8470619,Brian Boyle,C,PIT
8471215,Evgeni Malkin,C,PIT
8471675,Sidney Crosby,C,PIT
8471724,Kris Letang,D,PIT
8475208,Brian Dumoulin,D,PIT
8475810,Bryan Rust,R,PIT
8476875,Mike Matheson,D,PIT
8476927,Teddy Blueger,C,PIT
8476934,Brock McGinn,L,PIT
8477244,Chad Ruhwedel,D,PIT
8477404,Jake Guentzel,L,PIT
8477465,Tristan Jarry,G,PIT
8477953,Kasperi Kapanen,R,PIT
8477969,Marcus Pettersson,D,PIT
8478017,Mark Friedman,D,PIT
8478046,Danton Heinen,L,PIT
8478507,John Marino,D,PIT
8478542,Evan Rodrigues,C,PIT
8478866,Dominik Simon,C,PIT
8479193,Casey DeSmith,G,PIT
8479944,Zach Aston-Reese,L,PIT
8482241,Radim Zohorna,L,PIT
8475186,John Moore,D,BOS
8478415,Jakub Zboril,D,BOS
8479365,Trent Frederic,C,BOS
8470638,Patrice Bergeron,C,BOS
8471695,Tuukka Rask,G,BOS
8473419,Brad Marchand,L,BOS
8473422,Nick Foligno,L,BOS
8475225,Craig Smith,C,BOS
8475287,Erik Haula,L,BOS
8475745,Charlie Coyle,C,BOS
8475762,Derek Forbort,D,BOS
8475791,Taylor Hall,L,BOS
8476422,Mike Reilly,D,BOS
8476891,Matt Grzelcyk,D,BOS
8476999,Linus Ullmark,G,BOS
8477320,Anton Blidh,L,BOS
8477365,Connor Clifton,D,BOS
8477508,Curtis Lazar,C,BOS
8477931,Tomas Nosek,L,BOS
8477956,David Pastrnak,R,BOS
8478443,Brandon Carlo,D,BOS
8478498,Jake DeBrusk,L,BOS
8479325,Charlie McAvoy,D,BOS
8467950,Craig Anderson,G,BUF
8473449,Kyle Okposo,R,BUF
8476525,Colin Miller,D,BUF
8476878,Zemgus Girgensons,L,BUF
8476994,Vinnie Hinostroza,C,BUF
8479465,Drake Caggiula,C,BUF
8479999,Casey Mittelstadt,C,BUF
8480045,Ukko-Pekka Luukkonen,G,BUF
8474682,Dustin Tokarski,G,BUF
8475236,Cody Eakin,C,BUF
8475784,Jeff Skinner,L,BUF
8475796,Mark Pysyk,D,BUF
8475920,Michael Houser,G,BUF
8476873,Mark Jankowski,C,BUF
8476876,Malcolm Subban,G,BUF
8477180,Aaron Dell,G,BUF
8477355,Will Butcher,D,BUF
8477401,John Hayden,C,BUF
8477462,Robert Hagg,D,BUF
8477949,Alex Tuch,R,BUF
8478075,Anders Bjork,L,BUF
8478109,Victor Olofsson,L,BUF
8479335,Rasmus Asplund,C,BUF
8479420,Tage Thompson,R,BUF
8480035,Henri Jokiharju,D,BUF
8480196,Jacob Bryson,D,BUF
8480807,Mattias Samuelsson,D,BUF
8480839,Rasmus Dahlin,D,BUF
8481522,Peyton Krebs,C,BUF
8481528,Dylan Cozens,C,BUF
8482097,Jack Quinn,R,BUF
8473618,Mathieu Perreault,C,MTL
8474596,Jake Allen,G,MTL
8475848,Brendan Gallagher,R,MTL
8476441,Joel Edmundson,D,MTL
8477494,Jonathan Drouin,L,MTL
8470642,Shea Weber,D,MTL
8471679,Carey Price,G,MTL
8474038,Paul Byron,L,MTL
8476469,Joel Armia,R,MTL
8478838,Lukas Vejdemo,C,MTL
8481461,Corey Schueneman,D,MTL
8481540,Cole Caufield,R,MTL
8473507,Jeff Petry,D,MTL
8474884,Mike Hoffman,C,MTL
8475227,Chris Wideman,D,MTL
8475233,David Savard,D,MTL
8475279,Ben Chiarot,D,MTL
8475726,Tyler Toffoli,R,MTL
8476967,Brett Kulak,D,MTL
8476975,Cedric Paquette,C,MTL
8476981,Josh Anderson,R,MTL
8477460,Laurent Dauphin,C,MTL
8477476,Artturi Lehkonen,L,MTL
8477989,Christian Dvorak,L,MTL
8478133,Jake Evans,C,MTL
8478470,Sam Montembeault,G,MTL
8478915,Sami Niku,D,MTL
8478933,Michael McNiven,G,MTL
8479348,Kale Clague,D,MTL
8479514,Rem Pitlick,C,MTL
8479543,Michael Pezzetta,L,MTL
8480018,Nick Suzuki,C,MTL
8480051,Cayden Primeau,G,MTL
8480068,Ryan Poehling,C,MTL
8481014,Alexander Romanov,D,MTL
8477015,Connor Brown,R,OTT
8478400,Colin White,C,OTT
8479458,Nikita Zaitsev,D,OTT
8481596,Shane Pinto,C,OTT
8474207,Nick Holden,D,OTT
8474589,Tyler Ennis,R,OTT
8475766,Austin Watson,L,OTT
8476341,Anton Forsberg,G,OTT
8476899,Matt Murray,G,OTT
8476919,Chris Tierney,C,OTT
8477384,Josh Brown,D,OTT
8477426,Nick Paul,L,OTT
8477482,Zach Sanford,L,OTT
8478469,Thomas Chabot,D,OTT
8478874,Adam Gaudette,C,OTT
8479376,Victor Mete,D,OTT
8479580,Dylan Gambrell,C,OTT
8480029,Alex Formenton,L,OTT
8480064,Josh Norris,C,OTT
8480073,Erik Brannstrom,D,OTT
8480208,Drake Batherson,R,OTT
8480801,Brady Tkachuk,L,OTT
8482116,Tim Stützle,L,OTT
8482245,Artem Zub,D,OTT
8469455,Jason Spezza,C,TOR
8474162,Jake Muzzin,D,TOR
8474190,Wayne Simmonds,R,TOR
8474673,TJ Brodie,D,TOR
8475166,John Tavares,C,TOR
8475718,Justin Holl,D,TOR
8475789,Jack Campbell,G,TOR
8475852,Petr Mrazek,G,TOR
8476853,Morgan Rielly,D,TOR
8477021,Alexander Kerfoot,C,TOR
8477472,Carl Dahlstrom,D,TOR
8477939,William Nylander,R,TOR
8478047,Michael Bunting,L,TOR
8478115,Pierre Engvall,L,TOR
8478131,Ondrej Kase,R,TOR
8478408,Travis Dermott,D,TOR
8478483,Mitchell Marner,R,TOR
8479315,Joey Anderson,R,TOR
8479318,Auston Matthews,C,TOR
8480043,Timothy Liljegren,D,TOR
8480144,David Kampf,C,TOR
8480873,Rasmus Sandin,D,TOR
8481624,Ilya Mikheyev,R,TOR
8473533,Jordan Staal,C,CAR
8474013,Ian Cole,D,CAR
8474090,Brendan Smith,D,CAR
8474613,Derek Stepan,C,CAR
8475799,Nino Niederreiter,R,CAR
8475855,Jesper Fast,R,CAR
8475883,Frederik Andersen,G,CAR
8476389,Vincent Trocheck,C,CAR
8476869,Brady Skjei,D,CAR
8476882,Teuvo Teravainen,L,CAR
8476958,Jaccob Slavin,D,CAR
8477293,Antti Raanta,G,CAR
8477488,Brett Pesce,D,CAR
8477950,Tony DeAngelo,D,CAR
8478427,Sebastian Aho,C,CAR
8478451,Ethan Bear,D,CAR
8478904,Steven Lorentz,C,CAR
8480039,Martin Necas,C,CAR
8480829,Jesperi Kotkaniemi,C,CAR
8480830,Andrei Svechnikov,R,CAR
8482093,Seth Jarvis,C,CAR
8478569,Noel Acciari,C,FLA
8478906,Markus Nutivaara,D,FLA
8479355,Olli Juolevi,D,FLA
8480037,Aleksi Heponiemi,C,FLA
8466138,Joe Thornton,C,FLA
8471887,Patric Hornqvist,R,FLA
8475462,Radko Gudas,D,FLA
8475683,Sergei Bobrovsky,G,FLA
8476456,Jonathan Huberdeau,L,FLA
8477346,MacKenzie Weegar,D,FLA
8477407,Anthony Duclair,L,FLA
8477409,Carter Verhaeghe,C,FLA
8477493,Aleksander Barkov,C,FLA
8477932,Aaron Ekblad,D,FLA
8477933,Sam Reinhart,C,FLA
8477935,Sam Bennett,C,FLA
8477986,Brandon Montour,D,FLA
8478366,Frank Vatrano,C,FLA
8478975,Mason Marchment,L,FLA
8479066,Ryan Lomberg,L,FLA
8479523,Lucas Carlsson,D,FLA
8479553,Maxim Mamin,C,FLA
8480015,Owen Tippett,R,FLA
8480185,Eetu Luostarinen,C,FLA
8481519,Spencer Knight,G,FLA
8482113,Anton Lundell,C,FLA
8474567,Zach Bogosian,D,TBL
8476368,Fredrik Claesson,D,TBL
8476948,Charles Hudon,L,TBL
8477205,Andrej Sustr,D,TBL
8478069,Daniel Walcott,L,TBL
8470621,Corey Perry,R,TBL
8470880,Brian Elliott,G,TBL
8473986,Alex Killorn,L,TBL
8474034,Pat Maroon,L,TBL
8474151,Ryan McDonagh,D,TBL
8474564,Steven Stamkos,C,TBL
8475167,Victor Hedman,D,TBL
8476292,Ondrej Palat,L,TBL
8476453,Nikita Kucherov,R,TBL
8476883,Andrei Vasilevskiy,G,TBL
8477930,Pierre-Edouard Bellemare,L,TBL
8478010,Brayden Point,C,TBL
8478416,Erik Cernak,D,TBL
8478472,Mathieu Joseph,R,TBL
8478519,Anthony Cirelli,C,TBL
8479383,Boris Katchouk,L,TBL
8479390,Taylor Raddysh,R,TBL
8479410,Mikhail Sergachev,D,TBL
8479525,Ross Colton,C,TBL
8479984,Cal Foote,D,TBL
8480172,Jan Rutta,D,TBL
8471698,T.J. Oshie,R,WSH
8475958,Michael Sgarbossa,C,WSH
8471214,Alex Ovechkin,L,WSH
8473563,Nicklas Backstrom,C,WSH
8474176,Carl Hagelin,L,WSH
8474189,Lars Eller,C,WSH
8474602,Justin Schultz,D,WSH
8475200,Dmitry Orlov,D,WSH
8475324,Nick Jensen,D,WSH
8475343,Nic Dowd,C,WSH
8475625,Matt Irwin,D,WSH
8475744,Evgeny Kuznetsov,C,WSH
8476880,Tom Wilson,R,WSH
8477839,Conor Sheary,L,WSH
8477845,Trevor van Riemsdyk,D,WSH
8477903,Garnet Hathaway,R,WSH
8477970,Vitek Vanecek,G,WSH
8478466,Daniel Sprong,R,WSH
8478492,Ilya Samsonov,G,WSH
8479395,Dennis Cholowski,D,WSH
8479482,Michal Kempny,D,WSH
8480796,Martin Fehervary,D,WSH
8481517,Brett Leason,R,WSH
8481580,Connor McMichael,C,WSH
8481656,Aliaksei Protas,C,WSH
8474870,Tyler Johnson,C,CHI
8476915,Jujhar Khaira,L,CHI
8479388,Riley Stillman,D,CHI
8480947,Kevin Lankinen,G,CHI
8481147,Reese Johnson,C,CHI
8482528,Cale Morris,G,CHI
8470594,Marc-Andre Fleury,G,CHI
8473604,Jonathan Toews,C,CHI
8474141,Patrick Kane,R,CHI
8475177,Calvin de Haan,D,CHI
8475792,Brett Connolly,R,CHI
8476473,Connor Murphy,D,CHI
8476931,Jake McCabe,D,CHI
8476979,Erik Gustafsson,D,CHI
8477330,Dominik Kubalik,L,CHI
8477495,Seth Jones,D,CHI
8477846,Ryan Carpenter,C,CHI
8478043,Sam Lafferty,C,CHI
8478440,Dylan Strome,C,CHI
8478452,Caleb Jones,D,CHI
8479337,Alex DeBrincat,L,CHI
8479404,Henrik Borgstrom,C,CHI
8479542,Brandon Hagel,L,CHI
8480025,MacKenzie Entwistle,R,CHI
8480293,Wyatt Kalynuk,D,CHI
8480798,Philipp Kurashev,C,CHI
8481523,Kirby Dach,C,CHI
8482821,Arvid Soderblom,G,CHI
8477003,Riley Barber,R,DET
8477240,Carter Rowney,C,DET
8477944,Jakub Vrana,L,DET
8478477,Mitchell Stephens,C,DET
8479442,Troy Stecher,D,DET
8475717,Calvin Pickard,G,DET
8471306,Thomas Greiss,G,DET
8471686,Marc Staal,D,DET
8474040,Sam Gagner,C,DET
8475181,Nick Leddy,D,DET
8476480,Vladislav Namestnikov,C,DET
8476966,Gemel Smith,C,DET
8477215,Danny DeKeyser,D,DET
8477454,Adam Erne,L,DET
8477479,Tyler Bertuzzi,L,DET
8477851,Jordan Oesterle,D,DET
8477946,Dylan Larkin,C,DET
8477952,Robby Fabbri,C,DET
8477968,Alex Nedeljkovic,G,DET
8479379,Givani Smith,R,DET
8479425,Filip Hronek,D,DET
8479992,Michael Rasmussen,C,DET
8480184,Gustav Lindstrom,D,DET
