Angelo,Alessio,Harin,Parsa,Quin,Yashar
454,528.5,381,466,377,308
358.5,485.5,444,466.5,519.5,379
460.5,575.5,333.5,508,637.5,577.5
335,465,399,498,584,529.5
339.5,539,491.5,406.5,598,403
400.5,507,493.5,406.5,447,501
448.5,483.5,643,430.5,718.5,568
526,486.5,473.5,570,685,660
317.5,470,279,332.5,275.5,529.5
426.5,488,425,461,489.5,367
470.5,282,585.5,421,463,336.5
371.5,370,555,604,491.5,504
565.5,578,618,533,622.5,623
544,433.5,691,591.5,672,590
390,612,846,462,554,610.5
362,495.5,626,503.5,700,476
307,442.5,576,541.5,605,529.5
454,524,578,580,574,560
301,494.5,618,653.5,561,465
195,332.5,519,659.5,542,426
480,516,633,738,589,705
358,332.5,642,494.5,687,441